,target,question
0,怎么让女孩爱上你我现在在网上认识一女孩。可她老说她有男朋友，不接 ,如何让女孩爱上你?
1,帮忙起个名字打算练一个人类女贼主要是图一顺眼起一个比较好听的名字 ,起一个比较好听的名字 
2,房产证上是我和妹妹的名字，如果现在改成我一个人的名字需要办什么手? ,房产证上改名字需要什么手续
3,6串1，昨天晚上中的大钱没有，只有小投入 ,6串1？
4,今天的两场心理冷门002出于战意考虑，初盘略略看好客队；由于客队 ,初盘略略看好客队
5,爱莲说最后一段在全文中的作用 ,爱莲说最后一段的作用
6,哪里可以在线看电视剧 ,在线可以在哪里看电视剧 
7,请问纸被打湿后很皱，应该怎么处理？纸被水打湿，等纸干了后会很皱， ,纸被打湿后怎么处理？
8,求鉴定石头本人有一个像拳头大的石头，外观咖啡色，有一种香味，石头 ,求鉴定石头
9,睡觉的时候脸上出油好不好？我内分泌看来不好，平时基本不吃辣，所以 ,睡觉的时候脸上出油好吗？
10,何时何地何人宣布2008年奥运会在北京举办 ,2008年奥运会由何时何地何人宣布
11,求救我今年26，请问我和女朋友牵手的时候尿道口就有前列腺液流出， ,和女朋友牵手的时候尿道口有前列腺液流出
12,周润发版《上海滩》是什么哪一年拍的？ ,周润发哪一年拍的《上海滩》
13,白瞎了我的好单了 ,可惜我的好单
14,听人说菜籽油有营养，但我比较习惯吃调和油，那么请问两者之间哪种更? ,菜籽油和调和油比较
15,关键时刻怎么不见清泉老师了，急 ,清泉老师在哪里 
16,谁还记得那曾经的leeds青年禁卫军！！！ ,leeds青年禁卫军
17,日本产的机械表，哪种好。最好双日历有朋友去日本，我想让他带块日本 ,哪种日本产的机械表比较好
18,怎样对0~6岁的孩子进行启蒙教育？ ,如何对0~6岁的孩子进行启蒙教育？ 
19,"关于猎人BB的问题举个例子哈,我的猪会2级冲锋,后来让他学会3级 ",关于猎人BB的问题
20,脾胃虚弱多种症状并存是什么原因？请问同时有胃气虚的症状“胃胀，胃 ,什么导致了脾胃虚弱多种症状并存
21,170cm标准体重多少？我67公斤，感觉有点胖，但是我骨架子很大 ,170cm标准体重多少？
