,Unnamed: 0,target,question,命中情况,目标相似度,目标位置
0,0,怎么让女孩爱上你我现在在网上认识一女孩。可她老说她有男朋友，不接 ,如何让女孩爱上你?,"(我怎样才能爱上一个姑娘 ,0.33366695);(怎么可以让你爱上我 ,0.4337832);(怎样让一个女孩喜欢你怎样才能让一个女孩喜欢? ,0.5222851);(怎样做能使女孩喜欢你、爱你！ ,0.5463761);(我的女朋友怎么才能爱我？ ,0.620505);(如何让你心仪的女生喜欢你 ,0.63007057);(爱情如何去追求一个心爱的女人？ ,0.6838555);(恋爱有什么办法让女孩爱上了我? ,0.6866097);(现在什么样的女孩值得去爱？？？ ,0.72435546);(我怎么才能拥有爱情我怎样才能爱上一个人 ,0.72782403)",-1.0,-1
1,1,帮忙起个名字打算练一个人类女贼主要是图一顺眼起一个比较好听的名字 ,起一个比较好听的名字 ,"(想有个好名字 ,0.31442764);(取名我想要一个名字,要好听的. ,0.38526434);(推荐个好听得名字呗[害羞] ,0.39582053);(谁帮我取个好看的名字? ,0.4072856);(给起个好听的名啊给起个好听的名啊给起个好听的名啊给起个好听的名啊? ,0.4850898);(可以给几个好听的名字我看看吗？可以给几个好听的名字我看看吗 ,0.6282428);(哪个好看？！ ,0.6667667);(帮我起个好名字，问道 ,0.6680646);(谁可以告诉我　　那个好看？ ,0.6812724);(哪个好看？哪个好看？求意见，求意见。 ,0.7502479)",-1.0,-1
2,2,房产证上是我和妹妹的名字，如果现在改成我一个人的名字需要办什么手? ,房产证上改名字需要什么手续,"(什么叫房改房?办理的时候需要哪些手续? ,0.17846207);(房屋翻修要什么手续 ,0.3986113);(咨询哪位知道改名字都需要哪些手续？都有哪些程序？希望知道的指点指 ,0.44098774);(二手车过户都需要什么手续 ,0.48208436);(离婚都需要哪些手续? ,0.5003921);(办理户口迁移,需要哪些手续?去哪里办? ,0.5007542);(二手车过户需要哪些手续 ,0.50612265);(二手车过户需要什么手续？ ,0.51083815);(购买二手房要登记什么，走哪些流程？要什么手续 ,0.52354074);(新车购置税交税都要哪些手续？ ,0.52837026)",-1.0,-1
3,3,6串1，昨天晚上中的大钱没有，只有小投入 ,6串1？,"(发个6串1中奖单 ,0.16313674);(串一串6串1 ,0.17101943);(幸运6的1,0.19712315);(6串1实图！！！！！！！ ,0.22421631);(今日单场6串1（图）希望好运！ ,0.32022372);(求今晚6串1推荐谢谢 ,0.35210803);(小中5倍6串1（图） ,0.36955765);(晒个6串1如图示 ,0.37642044);(大家看一下6串1（图）有多大机会！！！！！！ ,0.40124848);(动词（6）？Hawkingwroteabouthisworkin ,0.40514547)",-1.0,-1
4,4,今天的两场心理冷门002出于战意考虑，初盘略略看好客队；由于客队 ,初盘略略看好客队,"(谜语：客人（地名）客人（地名） ,0.9555662);(空中充值如何开发票我办理空中充值如何给顾客开发票？ ,0.98859495);(客随主便，这一词究竟本意是什么？我们究竟应该如何去理解这个词呢， ,0.9924169);(客气的反义词是什么？ ,0.99262357);(总统府的客人? ,0.99525493);(excel中如何设计这样的代码设计一个客户信息表，包括如下信息： ,0.99731684);(请问有免费的客户管理软件吗?最好能支持手机版。 ,1.0047644);(东北话为什么把客人称呼为“Qie子”？ ,1.0070722);(客所思kx,1.0088482);(求本界世界杯英格兰的客场队服图片 ,1.0156698)",-1.0,-1
5,5,爱莲说最后一段在全文中的作用 ,爱莲说最后一段的作用,"(爱莲说最后一段在全文中的作用 ,0.2023492);(“最后的爱恋”这首歌怎么没有啊 ,1.0358474);(帮我翻译最后一句话的意思~W:Excuseme,Iwastold ,1.0689936);(求音乐达人告诉一下这个FLASH的配音!这个FLASH最后了有一 ,1.0914087);(约会大作战第二季片尾曲最后的那个精灵是谁 ,1.1026727);(在吃西餐是最后的一道菜是什么？ ,1.1046476);(谁告诉我!!骑马得到血剑碎片是做什么用的 ,1.111751);(梅花残篇什么用哈?哪位大大说下!谢! ,1.1129045);(巴金的最后一部长篇小说是哪部作品？ ,1.1159847);(18级任务得把断剑有什么用？ ,1.1173931)",0.2023492008447647,0
6,6,哪里可以在线看电视剧 ,在线可以在哪里看电视剧 ,"(哪里可以在线看电视剧 ,0.020234024);(在那个网址里可免费看电影和电视剧？请知道的告诉我。 ,0.33201987);(请问，在哪些网站可以看到免费电影或电视剧？谢谢！ ,0.38715568);(你们在看什么好看的电视剧啊？求推荐 ,0.41659674);(哪里有看电视的网站？ ,0.41883162);(谁给我介绍个能看电视的网站？ ,0.43971324);(请问一下谁有可以看电视的网址? ,0.44419146);(求推荐电视剧看！ ,0.44609836);(在那里在线收看电影? ,0.45966306);(求好看的电视剧。 ,0.47312298)",0.02023402415215969,0
7,7,请问纸被打湿后很皱，应该怎么处理？纸被水打湿，等纸干了后会很皱， ,纸被打湿后怎么处理？,"(理光2501L复印机怎么打印A3纸？ ,0.57444954);(荧光纸是由什么材料制成的? ,0.57662237);(做一次性纸餐盒的是什么纸 ,0.59975886);(生活用纸是用什么木材做成的 ,0.60639006);(辞职信用什么纸来写比较好?急!@!同上 ,0.6098073);(生活用纸包括哪些啊，是如何分类的？ ,0.6419759);(纸的制作材料以及工序是什么?要详细呀!我有急用!(老师布置的) ,0.6527626);(怎么用纸折玫瑰花哪里有看视频或教程? ,0.6582533);(信封一般用什么纸 ,0.6808893);(纸的花托怎样折?? ,0.6940452)",-1.0,-1
8,8,求鉴定石头本人有一个像拳头大的石头，外观咖啡色，有一种香味，石头 ,求鉴定石头,"(求专家鉴定这是什么石头呢？ ,0.2284909);(请问这是什么石头，求鉴定 ,0.34074795);(哪位亲帮我看看这是啥石头？ ,0.44978002);(请高人指点，这是什么石头？ ,0.4579308);(请懂石头的朋友帮我看看这是什么东西谢谢 ,0.47471458);(鉴定 ,0.52172107);(哪位博友知道这是什么石头么? ,0.52410024);(如何鉴定物品?谁能告诉我谢了同上 ,0.54622936);(有人知道这是什么石头吗？ ,0.55067027);(请问谁知道这是什么石头？ ,0.55316156)",-1.0,-1
9,9,睡觉的时候脸上出油好不好？我内分泌看来不好，平时基本不吃辣，所以 ,睡觉的时候脸上出油好吗？,"(头发容易出油，天天洗好吗？ ,0.6921893);(脸上出油是缺水吗 ,0.8993534);(用香皂洗脸好吗？ ,0.9904254);(用精华露当洗发水会怎么样 ,1.0105195);(鼻子常出油常用吸油纸好吗？ ,1.0337029);(喷墨打印机能用油性墨水吗 ,1.0401698);(身边好多人都说多乐士怎样怎样，大家觉得多乐士油漆好吗？ ,1.0591574);(请问香格里拉油漆怎么样？ ,1.0814782);(深海白鲨鱼油效果怎么样 ,1.0863099);(棉花的种子可以榨油吗？ ,1.1036568)",-1.0,-1
10,10,何时何地何人宣布2008年奥运会在北京举办 ,2008年奥运会由何时何地何人宣布,"(2008年奥运会具体什么时间开始 ,0.4315551);(2008年的奥林匹克运动会什么时候举行？ ,0.70884115);(标致2008什么时候上市？ ,0.7229858);(2008年北京残奥会什么时候开幕？ ,0.819372);(2008年中山小榄菊花展什么时候开始 ,0.8512136);(2008年公务员什么时候涨工资 ,0.8604582);(2008年奥运会在哪举行？ ,0.8789675);(2008的“惊蛰”是哪天哪时？ ,0.9366971);(2008年的古尔邦节是哪一天？ ,0.95101136);(闰年怎么算2008年是闰年，请问通过什么方法可以知道是闰年？ ,0.96212184)",-1.0,-1
